	url	checked
130	https://www.omicsdi.org/dataset/biostudies/S-EPMC5610422	no
131	https://www.omicsdi.org/dataset/biostudies/S-EPMC6822637	no
132	https://www.omicsdi.org/dataset/biostudies/S-EPMC4763373	no
133	https://www.omicsdi.org/dataset/biostudies/S-EPMC6298419	no
134	https://www.omicsdi.org/dataset/biostudies/S-EPMC6997929	no
135	https://www.omicsdi.org/dataset/biostudies/S-EPMC7466434	no
136	https://www.omicsdi.org/dataset/biostudies/S-EPMC2940843	no
137	https://www.omicsdi.org/dataset/biostudies/S-EPMC5055288	no
138	https://www.omicsdi.org/dataset/biostudies/S-EPMC6750834	no
139	https://www.omicsdi.org/dataset/biostudies/S-EPMC6912895	no
140	https://www.omicsdi.org/dataset/biostudies/S-EPMC6858361	no
141	https://www.omicsdi.org/dataset/biostudies/S-EPMC6903365	no
142	https://www.omicsdi.org/dataset/biostudies/S-EPMC6328460	no
143	https://www.omicsdi.org/dataset/biostudies/S-EPMC5243129	no
144	https://www.omicsdi.org/dataset/biostudies/S-EPMC3162912	no
145	https://www.omicsdi.org/dataset/biostudies/S-EPMC7822166	no
146	https://www.omicsdi.org/dataset/biostudies/S-EPMC6473040	no
147	https://www.omicsdi.org/dataset/biostudies/S-EPMC7554308	no
148	https://www.omicsdi.org/dataset/biostudies/S-EPMC4019090	no
149	https://www.omicsdi.org/dataset/biostudies/S-EPMC4718686	no
150	https://www.omicsdi.org/dataset/biostudies/S-EPMC6724181	no
151	https://www.omicsdi.org/dataset/biostudies/S-EPMC6583004	no
152	https://www.omicsdi.org/dataset/biostudies/S-EPMC5903591	no
153	https://www.ncbi.nlm.nih.gov/sra/SRP282426	no
