	Class ID	Original term	Term	T2T best score	Ontology	found_term	TermID
2032	http://purl.obolibrary.org/obo/MMO_0000721	Ultra Performance Liquid Chromatography/Mass Spectrometry	Ultra Performance Liquid Chromatography/Mass Spectrometry sampling	0.891	chmo	ultra-performance liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000715
2035	http://purl.obolibrary.org/obo/MMO_0000721	uplc-ms	uplc-ms detection	0.815	chmo	mass detection	http://purl.obolibrary.org/obo/CHMO_0002174
2043	http://purl.obolibrary.org/obo/MMO_0000685	CLSM	CLSM	0.992	chmo	confocal laser scanning microscopy	http://purl.obolibrary.org/obo/CHMO_0000089
2154	http://purl.obolibrary.org/obo/MMO_0000536	GC-MS	GC-MS	0.963	chmo	gas chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000497
2160	http://purl.obolibrary.org/obo/MMO_0000535	LC-MS	LC-MS	0.975	chmo	liquid chromatography-mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000524
2187	http://purl.obolibrary.org/obo/MMO_0000736	ICP-MS	ICP-MS detection	0.844	chmo	mass detection	http://purl.obolibrary.org/obo/CHMO_0002174
2188	http://purl.obolibrary.org/obo/MMO_0000736	ICP-MS	ICP-MS	0.692	chmo	high performance liquid chromatography-inductively coupled plasma mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000543
2190	http://purl.obolibrary.org/obo/CHMO_0000538	ICP-MS	ICP-MS detection	0.844	chmo	mass detection	http://purl.obolibrary.org/obo/CHMO_0002174
2191	http://purl.obolibrary.org/obo/CHMO_0000538	ICP-MS	ICP-MS	0.692	chmo	high performance liquid chromatography-inductively coupled plasma mass spectrometry	http://purl.obolibrary.org/obo/CHMO_0000543
2283	http://purl.obolibrary.org/obo/CHMO_0002585	refractive-index detector	refractive-index detector tests	0.787	chmo	refractive index detection	http://purl.obolibrary.org/obo/CHMO_0001730
2284	http://purl.obolibrary.org/obo/CHMO_0002585	refractive-index detector	refractive-index detector	0.868	chmo	refractive index detection	http://purl.obolibrary.org/obo/CHMO_0001730
2289	http://purl.obolibrary.org/obo/CHMO_0000591	NMR spectrometry	NMR spectrometry	0.957	chmo	pulsed nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000613
2295	http://purl.obolibrary.org/obo/CHMO_0000591	nuclear magnetic resonance spectrometry	nuclear magnetic resonance spectrometry	0.967	chmo	pulsed nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000613
2296	http://purl.obolibrary.org/obo/CHMO_0000591	nuclear magnetic resonance spectrometry	nuclear magnetic resonance spectrometry assessment	0.855	chmo	pulsed nuclear magnetic resonance spectroscopy	http://purl.obolibrary.org/obo/CHMO_0000613
