	CURIE	counts
509	DOID4176	1
510	DOID418	1
511	DOID4189	117
512	DOID421	1
513	DOID4233	1
514	DOID4236	1
515	DOID4239	13
516	DOID4291	1
517	DOID4300	1
518	DOID4346	1
519	DOID4376	20
520	DOID4377	6
521	DOID4378	20
522	DOID4386	1
523	DOID4450	522
524	DOID4454	1
525	DOID4481	299
526	DOID4483	232
527	DOID4492	3
528	DOID4556	7
529	DOID4562	1
530	DOID4660	1
531	DOID4661	1
532	DOID4674	25
533	DOID4708	1
534	DOID4724	533
535	DOID4731	1
536	DOID4737	1
537	DOID4749	1
538	DOID4778	1
539	DOID4791	1
540	DOID483	1
541	DOID4840	6
542	DOID4870	1
543	DOID4919	1
544	DOID4933	1
545	DOID4992	30
546	DOID5076	1
547	DOID5093	3
548	DOID5104	1
549	DOID5132	1
550	DOID5207	1
551	DOID5221	1
552	DOID5222	1
553	DOID5273	4
554	DOID5340	1
555	DOID5363	28
556	DOID5387	1
557	DOID5409	1
558	DOID5435	3
559	DOID5485	97
560	DOID5501	1
561	DOID5502	1
562	DOID551	1
563	DOID552	4559
564	DOID5521	1
565	DOID5522	1
566	DOID5556	1
567	DOID5592	2
568	DOID5690	1
569	DOID5692	1
570	DOID5702	2
571	DOID5729	2
572	DOID5759	1
573	DOID5768	1
574	DOID5823	1
575	DOID5825	1
576	DOID5846	1
577	DOID599	4
578	DOID6000	1
579	DOID6032	1
580	DOID6110	1
581	DOID6227	1
582	DOID6354	2
583	DOID6364	1
584	DOID6406	26
585	DOID648	1
586	DOID6536	2
587	DOID6652	4
588	DOID682	1
589	DOID7004	1
590	DOID7165	2
591	DOID7188	1
592	DOID7210	1
593	DOID7365	1
594	DOID7427	10
595	DOID7528	1
596	DOID7602	1
597	DOID7615	1
598	DOID7717	1
599	DOID7725	1
600	DOID783	75
601	DOID7910	1
602	DOID799	39
603	DOID8110	3
604	DOID8200	1
605	DOID8243	1
606	DOID8252	1
607	DOID8398	2222
608	DOID8438	1
609	DOID8469	1
610	DOID8485	2
611	DOID8552	425
612	DOID8566	50
613	DOID8577	1
614	DOID8590	1
615	DOID8633	1
616	DOID8704	11
617	DOID8743	1
618	DOID883	11
619	DOID8866	1
620	DOID8892	21
621	DOID8946	1
622	DOID9007	30
623	DOID9119	56
624	DOID9123	13
625	DOID9138	1
626	DOID9155	1
627	DOID9191	93
628	DOID9246	110
629	DOID9261	1
630	DOID9270	1
631	DOID9369	1
632	DOID9389	1
633	DOID9395	5
634	DOID9428	3
635	DOID9460	2
636	DOID9461	1
637	DOID9476	1
638	DOID9487	1
639	DOID9513	1
640	DOID9588	864
641	DOID9663	1
642	DOID9667	1
643	DOID9673	1
644	DOID9694	1
645	DOID974	12
646	DOID9743	111
647	DOID9809	1
648	DOID9847	2
649	DOID9870	1
650	DOID9912	2
651	DOID9938	9
652	DOID9952	39
653	DOID9971	1
654	HP0000544	1
655	HP0001004	5
656	HP0001822	1
657	HP0001838	1
658	HP0002040	1
659	HP0002149	1
660	HP0002245	1
661	HP0005602	1
662	HP0007443	1
663	HP0010313	9
664	HP0012594	1
665	HP0030242	7
666	HP0031348	2
667	HP0031992	1
668	HP0033584	1
669	HP0100580	51
670	HP0100813	2
671	HP0410133	5
672	HP0410134	1
673	MONDO0000001	452
674	MONDO0000082	6
675	MONDO0000136	1
676	MONDO0000225	2
677	MONDO0000229	2
678	MONDO0000248	16
679	MONDO0000250	5
680	MONDO0000257	47
681	MONDO0000259	2
682	MONDO0000266	1
683	MONDO0000270	3
684	MONDO0000293	2
685	MONDO0000297	1
686	MONDO0000306	4
687	MONDO0000409	106
688	MONDO0000450	28
689	MONDO0000451	7
690	MONDO0000452	1
691	MONDO0000507	1
692	MONDO0000552	1
693	MONDO0000553	7
694	MONDO0000595	2
695	MONDO0000611	2
696	MONDO0000640	1
697	MONDO0000661	23
698	MONDO0000693	6
699	MONDO0000702	5
700	MONDO0000705	64
701	MONDO0000706	1
702	MONDO0000723	14
703	MONDO0000750	2
704	MONDO0000755	16
705	MONDO0000757	3
706	MONDO0000778	1
707	MONDO0000870	28
708	MONDO0000878	1
709	MONDO0000916	4
710	MONDO0000980	6
711	MONDO0001041	1
712	MONDO0001055	1
713	MONDO0001060	12
714	MONDO0001103	259
715	MONDO0001112	9
716	MONDO0001149	7
717	MONDO0001200	4
718	MONDO0001226	1
719	MONDO0001236	1
720	MONDO0001246	6
721	MONDO0001251	4
722	MONDO0001300	16
723	MONDO0001384	5
724	MONDO0001416	1
725	MONDO0001422	39
726	MONDO0001449	175
727	MONDO0001465	1
728	MONDO0001475	1
729	MONDO0001498	6
730	MONDO0001528	2
731	MONDO0001531	2
732	MONDO0001577	62
733	MONDO0001620	1
734	MONDO0001621	4
735	MONDO0001644	1
736	MONDO0001645	8
737	MONDO0001656	2
