	Class ID	Preferred Label	Synonyms	alternative term	has_exact_synonym	synlist
181	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography-tandem mass spectroscopy
181	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	LC-MS-MS
181	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	LC-MS/MS
181	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	LC-MS2
181	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	LC-MSMS
181	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	LC/MS/MS
181	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	LCMSMS
182	http://purl.obolibrary.org/obo/OBI_0001138	X-ray source	X-ray generator	N/A	X-ray generator	X-ray generator
183	http://purl.obolibrary.org/obo/CHMO_0000987	capillary column		N/A		N/A
184	http://purl.obolibrary.org/obo/CHMO_0000982	mass spectrometer		N/A		N/A
185	http://purl.obolibrary.org/obo/CHMO_0001287	calorimeter		N/A		N/A
186	http://purl.obolibrary.org/obo/CHMO_0001016	gas-liquid chromatography	GLC	N/A	GLC	GLC
187	http://purl.obolibrary.org/obo/CHMO_0001011	gel filtration chromatography	gel-permeation chromatography|gel permeation chromatography|GPC	N/A	gel-permeation chromatography|gel permeation chromatography|GPC	gel-permeation chromatography
187	http://purl.obolibrary.org/obo/CHMO_0001011	gel filtration chromatography	gel-permeation chromatography|gel permeation chromatography|GPC	N/A	gel-permeation chromatography|gel permeation chromatography|GPC	gel permeation chromatography
187	http://purl.obolibrary.org/obo/CHMO_0001011	gel filtration chromatography	gel-permeation chromatography|gel permeation chromatography|GPC	N/A	gel-permeation chromatography|gel permeation chromatography|GPC	GPC
188	http://purl.obolibrary.org/obo/CHMO_0001019	electrophoresis	electrophoretic analysis|cataphoresis	N/A	electrophoretic analysis|cataphoresis	electrophoretic analysis
188	http://purl.obolibrary.org/obo/CHMO_0001019	electrophoresis	electrophoretic analysis|cataphoresis	N/A	electrophoretic analysis|cataphoresis	cataphoresis
189	http://purl.obolibrary.org/obo/CHMO_0001015	gas-solid chromatography	GSC	N/A	GSC	GSC
190	http://purl.obolibrary.org/obo/CHEBI_28262	dimethyl sulfoxide		N/A		N/A
191	http://purl.obolibrary.org/obo/CHMO_0001531	laser capture micro-dissection	laser-capture micro-dissection|laser-capture microdissection|laser capture microdissection|LCM	N/A	laser-capture micro-dissection|laser-capture microdissection|laser capture microdissection|LCM	laser-capture micro-dissection
191	http://purl.obolibrary.org/obo/CHMO_0001531	laser capture micro-dissection	laser-capture micro-dissection|laser-capture microdissection|laser capture microdissection|LCM	N/A	laser-capture micro-dissection|laser-capture microdissection|laser capture microdissection|LCM	laser-capture microdissection
191	http://purl.obolibrary.org/obo/CHMO_0001531	laser capture micro-dissection	laser-capture micro-dissection|laser-capture microdissection|laser capture microdissection|LCM	N/A	laser-capture micro-dissection|laser-capture microdissection|laser capture microdissection|LCM	laser capture microdissection
191	http://purl.obolibrary.org/obo/CHMO_0001531	laser capture micro-dissection	laser-capture micro-dissection|laser-capture microdissection|laser capture microdissection|LCM	N/A	laser-capture micro-dissection|laser-capture microdissection|laser capture microdissection|LCM	LCM
192	http://purl.obolibrary.org/obo/OBI_0400064	laser		N/A		N/A
193	http://purl.obolibrary.org/obo/OBI_0302888	washing	rinsing	N/A	rinsing	rinsing
194	http://purl.obolibrary.org/obo/CHMO_0000796	high-performance liquid chromatography-mass spectrometry	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	N/A	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	high performance liquid chromatography-mass spectroscopy
194	http://purl.obolibrary.org/obo/CHMO_0000796	high-performance liquid chromatography-mass spectrometry	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	N/A	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	high performance liquid chromatography mass spectrometry
194	http://purl.obolibrary.org/obo/CHMO_0000796	high-performance liquid chromatography-mass spectrometry	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	N/A	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	high performance liquid chromatography-mass spectrometry
194	http://purl.obolibrary.org/obo/CHMO_0000796	high-performance liquid chromatography-mass spectrometry	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	N/A	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	high performance liquid chromatography mass spectroscopy
194	http://purl.obolibrary.org/obo/CHMO_0000796	high-performance liquid chromatography-mass spectrometry	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	N/A	high performance liquid chromatography-mass spectroscopy|high performance liquid chromatography mass spectrometry|high performance liquid chromatography-mass spectrometry|high performance liquid chromatography mass spectroscopy|HPLC-MS	HPLC-MS
195	http://purl.obolibrary.org/obo/OBI_0000443	analyte assay		N/A		N/A
196	http://purl.obolibrary.org/obo/CHMO_0000322	liquid scintillation counting		N/A		N/A
197	http://purl.obolibrary.org/obo/CHEBI_50594	carbon nanotube		N/A		N/A
198	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	N/A	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	L3Vision CCD
198	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	N/A	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	electron multiplying charge coupled device
198	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	N/A	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	Impactron CCD
198	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	N/A	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	electron-multiplying CCD
198	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	N/A	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	electron multiplying CCD
198	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	N/A	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	EMCCD
198	http://purl.obolibrary.org/obo/CHMO_0002182	electron-multiplying charge-coupled device	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	N/A	L3Vision CCD|electron multiplying charge coupled device|Impactron CCD|electron-multiplying CCD|electron multiplying CCD|EMCCD|L3CCD	L3CCD
199	http://purl.obolibrary.org/obo/CHMO_0001059	ion detector		N/A		N/A
200	http://purl.obolibrary.org/obo/CHMO_0002017	density-gradient centrifugation	density gradient centrifugation	N/A	density gradient centrifugation	density gradient centrifugation
201	http://purl.obolibrary.org/obo/CHMO_0002265	anion-exchange column		N/A		N/A
202	http://purl.obolibrary.org/obo/CHMO_0002264	ion-exchange column		N/A		N/A
203	http://purl.obolibrary.org/obo/CHMO_0002263	cation-exchange column		N/A		N/A
204	http://purl.obolibrary.org/obo/OBI_0302912	electroporation	electropermeabilization	N/A	electropermeabilization	electropermeabilization
205	http://purl.obolibrary.org/obo/CHMO_0000291	spectrophotometry	MAS|molecular electronic absorption spectroscopy|molecular absorption spectrophotometry	N/A	molecular electronic absorption spectroscopy|molecular absorption spectrophotometry	MAS
205	http://purl.obolibrary.org/obo/CHMO_0000291	spectrophotometry	MAS|molecular electronic absorption spectroscopy|molecular absorption spectrophotometry	N/A	molecular electronic absorption spectroscopy|molecular absorption spectrophotometry	molecular electronic absorption spectroscopy
205	http://purl.obolibrary.org/obo/CHMO_0000291	spectrophotometry	MAS|molecular electronic absorption spectroscopy|molecular absorption spectrophotometry	N/A	molecular electronic absorption spectroscopy|molecular absorption spectrophotometry	molecular absorption spectrophotometry
206	http://purl.obolibrary.org/obo/CHMO_0001957	flow cytometer		N/A		N/A
207	http://purl.obolibrary.org/obo/OBI_0302886	centrifugation		N/A		N/A
208	http://purl.obolibrary.org/obo/CHMO_0001082	osmometry		N/A		N/A
209	http://purl.obolibrary.org/obo/CHMO_0001088	electron microscope		N/A		N/A
210	http://purl.obolibrary.org/obo/CHMO_0001085	fluorescence-activated cell sorting	fluorescence activated cell sorting|FACS	N/A	fluorescence activated cell sorting|FACS	fluorescence activated cell sorting
210	http://purl.obolibrary.org/obo/CHMO_0001085	fluorescence-activated cell sorting	fluorescence activated cell sorting|FACS	N/A	fluorescence activated cell sorting|FACS	FACS
211	http://purl.obolibrary.org/obo/CHMO_0001234	spectrometer	spectroscope|spectrograph	N/A	spectroscope|spectrograph	spectroscope
211	http://purl.obolibrary.org/obo/CHMO_0001234	spectrometer	spectroscope|spectrograph	N/A	spectroscope|spectrograph	spectrograph
212	http://purl.obolibrary.org/obo/CHMO_0001751	phosphate-buffered saline solution	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	N/A	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	PBS solution
212	http://purl.obolibrary.org/obo/CHMO_0001751	phosphate-buffered saline solution	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	N/A	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	phosphate buffered saline
212	http://purl.obolibrary.org/obo/CHMO_0001751	phosphate-buffered saline solution	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	N/A	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	phosphate-buffered saline (PBS) solution
212	http://purl.obolibrary.org/obo/CHMO_0001751	phosphate-buffered saline solution	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	N/A	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	phosphate-buffered salt solution
212	http://purl.obolibrary.org/obo/CHMO_0001751	phosphate-buffered saline solution	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	N/A	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	PBS
212	http://purl.obolibrary.org/obo/CHMO_0001751	phosphate-buffered saline solution	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	N/A	PBS solution|phosphate buffered saline|phosphate-buffered saline (PBS) solution|phosphate-buffered salt solution|PBS|PBS buffer	PBS buffer
213	http://purl.obolibrary.org/obo/CHMO_0002579	autosampler		N/A		N/A
214	http://purl.obolibrary.org/obo/CHMO_0001624	fermentation		N/A		N/A
215	http://www.bioassayontology.org/bao#BAO_0002094	computational method			N/A	N/A
216	http://purl.obolibrary.org/obo/NCIT_C16681	Histology	HISTOLOGY|Microanatomy|Histology|histology		N/A	HISTOLOGY
216	http://purl.obolibrary.org/obo/NCIT_C16681	Histology	HISTOLOGY|Microanatomy|Histology|histology		N/A	Microanatomy
216	http://purl.obolibrary.org/obo/NCIT_C16681	Histology	HISTOLOGY|Microanatomy|Histology|histology		N/A	Histology
216	http://purl.obolibrary.org/obo/NCIT_C16681	Histology	HISTOLOGY|Microanatomy|Histology|histology		N/A	histology
217	http://www.bioassayontology.org/bao#BAO_0002463	Bradford protein assay			N/A	N/A
218	http://www.bioassayontology.org/bao#BAO_0002428	radioimmunoassay			N/A	N/A
219	http://www.bioassayontology.org/bao#BAO_0002424	western blot			N/A	N/A
220	http://www.bioassayontology.org/bao#BAO_0000453	confocal microscopy			N/A	N/A
221	http://www.bioassayontology.org/bao#BAO_0002508	immunoprecipitation			N/A	N/A
222	http://www.bioassayontology.org/bao#BAO_0010252	protein expression assay		protein expression assay	N/A	N/A
223	http://www.bioassayontology.org/bao#BAO_0000015	bioassay			N/A	N/A
224	http://www.bioassayontology.org/bao#BAO_0002527	autoradiography			N/A	N/A
225	http://www.bioassayontology.org/bao#BAO_0002525	tomography			N/A	N/A
226	http://www.bioassayontology.org/bao#BAO_0002805	cell proliferation assay		cell proliferation|anti-proliferation assay|proliferation|cell proliferation inhibitor|in vitro cell proliferation|in vitro RCS proliferation assay|anti-proliferation|proliferation of human breast tumor cells|cell proliferation inhibition|inbition of cell proliferation	N/A	N/A
227	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity		molecular entities|molekulare Entitaet|molecular entity|entite moleculaire|entidades moleculares|entidad molecular	N/A	N/A
228	http://www.bioassayontology.org/bao#BAO_0002419	enzyme-linked immunosorbent spot assay		ELISPOT assay|ELISPOT	N/A	N/A
229	http://www.bioassayontology.org/bao#BAO_0000129	immunoassay			N/A	N/A
230	http://www.bioassayontology.org/bao#BAO_0000055	mass spectrometry		MS	N/A	N/A
231	http://www.bioassayontology.org/bao#BAO_0000415	immunohistochemistry			N/A	N/A
232	http://purl.obolibrary.org/obo/OBI_0600020	histological assay	histopathology|histology	histopathology|histology	N/A	histopathology
232	http://purl.obolibrary.org/obo/OBI_0600020	histological assay	histopathology|histology	histopathology|histology	N/A	histology
233	http://purl.obolibrary.org/obo/OBI_0302893	storage			N/A	N/A
234	http://purl.obolibrary.org/obo/BFO_0000015	process			N/A	N/A
235	http://purl.obolibrary.org/obo/OBI_0600053	electrophoresis			N/A	N/A
236	http://purl.obolibrary.org/obo/BFO_0000023	role			N/A	N/A
237	http://purl.obolibrary.org/obo/OBI_0001170	reverse transcription polymerase chain reaction assay			N/A	N/A
238	http://purl.obolibrary.org/obo/OBI_0001032	light emission device			N/A	N/A
239	http://purl.obolibrary.org/obo/OBI_0002692	polymerase chain reaction assay			N/A	N/A
240	http://purl.obolibrary.org/obo/OBI_0200199	gas chromatography mass spectrometry			N/A	N/A
241	http://purl.obolibrary.org/obo/OBI_0400065	light source			N/A	N/A
242	http://purl.obolibrary.org/obo/OBI_0200051	principal components analysis dimensionality reduction	pca data reduction	pca data reduction	N/A	pca data reduction
243	http://purl.obolibrary.org/obo/OBI_00001975	chromatin immunoprecipitation	ChIP	ChIP	N/A	ChIP
244	http://purl.obolibrary.org/obo/OBI_0001061	microwave synthesis system			N/A	N/A
245	http://purl.obolibrary.org/obo/CHMO_0000102	light microscopy assay	light microscopy|optical microscopy|OM	light microscopy|optical microscopy|OM	N/A	light microscopy
245	http://purl.obolibrary.org/obo/CHMO_0000102	light microscopy assay	light microscopy|optical microscopy|OM	light microscopy|optical microscopy|OM	N/A	optical microscopy
245	http://purl.obolibrary.org/obo/CHMO_0000102	light microscopy assay	light microscopy|optical microscopy|OM	light microscopy|optical microscopy|OM	N/A	OM
246	http://purl.obolibrary.org/obo/OBI_0000661	enzyme-linked immunosorbent assay	ELISA	ELISA	N/A	ELISA
247	http://purl.obolibrary.org/obo/OBI_0000070	assay	measuring|scientific observation|any method|study assay	measuring|scientific observation	N/A	measuring
247	http://purl.obolibrary.org/obo/OBI_0000070	assay	measuring|scientific observation|any method|study assay	measuring|scientific observation	N/A	scientific observation
247	http://purl.obolibrary.org/obo/OBI_0000070	assay	measuring|scientific observation|any method|study assay	measuring|scientific observation	N/A	any method
247	http://purl.obolibrary.org/obo/OBI_0000070	assay	measuring|scientific observation|any method|study assay	measuring|scientific observation	N/A	study assay
248	http://purl.obolibrary.org/obo/OBI_0000860	northern blot assay	northern blot	northern blot	N/A	northern blot
249	http://purl.obolibrary.org/obo/OBI_0000185	imaging assay			N/A	N/A
250	http://purl.obolibrary.org/obo/IAO_0000030	information content entity			N/A	N/A
251	http://purl.obolibrary.org/obo/BFO_0000034	function			N/A	N/A
252	http://purl.obolibrary.org/obo/CHMO_0000087	fluorescence microscopy assay	fluorescence imaging|fluorescence microscopic imaging|FM	fluorescence imaging|fluorescence microscopic imaging|FM	N/A	fluorescence imaging
252	http://purl.obolibrary.org/obo/CHMO_0000087	fluorescence microscopy assay	fluorescence imaging|fluorescence microscopic imaging|FM	fluorescence imaging|fluorescence microscopic imaging|FM	N/A	fluorescence microscopic imaging
252	http://purl.obolibrary.org/obo/CHMO_0000087	fluorescence microscopy assay	fluorescence imaging|fluorescence microscopic imaging|FM	fluorescence imaging|fluorescence microscopic imaging|FM	N/A	FM
253	http://purl.obolibrary.org/obo/OBI_0001042	pump function			N/A	N/A
254	http://purl.obolibrary.org/obo/OBI_0600014	material component separation			N/A	N/A
255	http://purl.obolibrary.org/obo/OBI_0000690	immunoprecipitation			N/A	N/A
256	http://purl.obolibrary.org/obo/OBI_0000094	material processing	material transformation	material transformation	N/A	material transformation
257	http://purl.obolibrary.org/obo/BFO_0000019	quality			N/A	N/A
258	http://purl.obolibrary.org/obo/OBI_0001271	RNA-seq assay	transcription profiling by high throughput sequencing	transcription profiling by high throughput sequencing	N/A	transcription profiling by high throughput sequencing
259	http://purl.obolibrary.org/obo/OBI_0000073	sample preparation for assay	study	study	N/A	study
260	http://purl.obolibrary.org/obo/OBI_0000838	material maintenance			N/A	N/A
261	http://purl.obolibrary.org/obo/OBI_0000968	device	instrument	instrument	N/A	instrument
262	http://purl.obolibrary.org/obo/OBI_0000796	purification objective	isolation objective	isolation objective	N/A	isolation objective
263	http://purl.obolibrary.org/obo/CHEBI_23367	molecular entity			N/A	N/A
264	http://purl.obolibrary.org/obo/OBI_0000011	planned process			N/A	N/A
265	http://purl.obolibrary.org/obo/OBI_0001986	immunohistochemistry			N/A	N/A
266	http://purl.obolibrary.org/obo/BFO_0000040	material entity			N/A	N/A
267	http://purl.obolibrary.org/obo/OBI_0000891	cell proliferation assay			N/A	N/A
268	http://purl.obolibrary.org/obo/OBI_0000910	radio immuno assay			N/A	N/A
269	http://purl.obolibrary.org/obo/OBI_0000854	western blot assay			N/A	N/A
270	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectrometry
270	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography tandem mass spectroscopy
270	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	liquid chromatography-tandem mass spectroscopy
270	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	LC-MS-MS
270	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	LC-MS/MS
270	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	LC-MS2
270	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	LC-MSMS
270	http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography-tandem mass spectrometry	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	liquid chromatography tandem mass spectrometry|liquid chromatography tandem mass spectroscopy|liquid chromatography-tandem mass spectroscopy|LC-MS-MS|LC-MS/MS|LC-MS2|LC-MSMS|LC/MS/MS|LCMSMS	N/A	LC/MS/MS
