	Class ID	Preferred Label	Synonyms	alternative term	has_exact_synonym	synlist
113	http://purl.obolibrary.org/obo/CHMO_0000575	tandem mass spectrometry	tandem mass spectroscopy|double mass spectrometry|MS-MS|MS/MS|MS2|tandem MS|tandem-MS	N/A	tandem mass spectroscopy|double mass spectrometry|MS-MS|MS/MS|MS2|tandem MS|tandem-MS	tandem-MS
114	http://purl.obolibrary.org/obo/CHMO_0002535	Karl–Fischer titration	Karl Fischer titration|Karl-Fischer titration	N/A	Karl Fischer titration|Karl-Fischer titration	Karl Fischer titration
114	http://purl.obolibrary.org/obo/CHMO_0002535	Karl–Fischer titration	Karl Fischer titration|Karl-Fischer titration	N/A	Karl Fischer titration|Karl-Fischer titration	Karl-Fischer titration
115	http://purl.obolibrary.org/obo/CHMO_0002536	volumetric titration		N/A		N/A
116	http://purl.obolibrary.org/obo/OBI_0000661	ELISA	enzyme-linked immunosorbent assay	N/A	enzyme-linked immunosorbent assay	enzyme-linked immunosorbent assay
117	http://purl.obolibrary.org/obo/CHMO_0001810	synchrotron	synchrotrons	N/A	synchrotrons	synchrotrons
118	http://purl.obolibrary.org/obo/CHMO_0001006	affinity chromatography	bioaffinity chromatography	N/A	bioaffinity chromatography	bioaffinity chromatography
119	http://purl.obolibrary.org/obo/CHMO_0001002	gas chromatography	GC	N/A	GC	GC
120	http://purl.obolibrary.org/obo/CHMO_0001001	column chromatography	preparative column chromatography	N/A		preparative column chromatography
121	http://purl.obolibrary.org/obo/CHMO_0001009	high-performance liquid chromatography	high-pressure liquid chromatography|high pressure liquid chromatography|high performance liquid chromatography|HPLC	N/A	high-pressure liquid chromatography|high pressure liquid chromatography|high performance liquid chromatography|HPLC	high-pressure liquid chromatography
121	http://purl.obolibrary.org/obo/CHMO_0001009	high-performance liquid chromatography	high-pressure liquid chromatography|high pressure liquid chromatography|high performance liquid chromatography|HPLC	N/A	high-pressure liquid chromatography|high pressure liquid chromatography|high performance liquid chromatography|HPLC	high pressure liquid chromatography
121	http://purl.obolibrary.org/obo/CHMO_0001009	high-performance liquid chromatography	high-pressure liquid chromatography|high pressure liquid chromatography|high performance liquid chromatography|HPLC	N/A	high-pressure liquid chromatography|high pressure liquid chromatography|high performance liquid chromatography|HPLC	high performance liquid chromatography
121	http://purl.obolibrary.org/obo/CHMO_0001009	high-performance liquid chromatography	high-pressure liquid chromatography|high pressure liquid chromatography|high performance liquid chromatography|HPLC	N/A	high-pressure liquid chromatography|high pressure liquid chromatography|high performance liquid chromatography|HPLC	HPLC
122	http://purl.obolibrary.org/obo/CHMO_0001004	liquid chromatography	LC	N/A	LC	LC
123	http://purl.obolibrary.org/obo/CHMO_0001000	chromatography	analytical chromatography|preparative chromatography|chromatographic analysis	N/A	analytical chromatography|preparative chromatography|chromatographic analysis	analytical chromatography
123	http://purl.obolibrary.org/obo/CHMO_0001000	chromatography	analytical chromatography|preparative chromatography|chromatographic analysis	N/A	analytical chromatography|preparative chromatography|chromatographic analysis	preparative chromatography
